LAUNCH_DATE,ORBIT_RAISE_COMEPLETE
11/11/2019,11/1/2020
1/7/2020,6/1/2020
1/29/2020,7/1/2020
2/17/2020,7/1/2020
3/18/2020,8/1/2020
4/22/2020,2/1/2021
6/4/2020,11/1/2020
6/13/2020,12/1/2020
8/7/2020,12/1/2020
8/18/2020,3/1/2021
9/3/2020,6/1/2021
10/6/2020,3/1/2021
10/18/2020,4/1/2021
10/24/2020,7/1/2021
11/25/2020,5/1/2021
1/20/2021,8/1/2021
2/4/2021,8/1/2021
2/16/2021,2/1/2022
3/4/2021,1/1/2022
3/11/2021,12/1/2021
3/14/2021,12/1/2021
3/24/2021,7/1/2022
4/7/2021,12/1/2021
4/29/2021,1/1/2022
5/4/2021,12/1/2021
5/9/2021,11/1/2021
5/15/2021,1/1/2022
5/26/2021,12/1/2021
6/30/2021,7/1/2022
9/14/2021,6/1/2022
11/13/2021,5/1/2022
12/2/2021,5/1/2022
12/18/2021,7/1/2022
1/6/2022,7/1/2022
1/19/2022,7/1/2022
2/3/2022,5/1/2022
2/21/2022,7/1/2022
2/25/2022,7/1/2022
3/3/2022,7/1/2022
3/9/2022,7/1/2022
3/19/2022,2/1/2023
3/24/2022,3/24/2022
4/21/2022,8/1/2022
4/29/2022,9/1/2022
5/6/2022,9/1/2022
5/13/2022,8/1/2022
5/14/2022,10/1/2022
5/18/2022,9/1/2022
6/17/2022,10/1/2022
7/7/2022,11/1/2022
7/11/2022,9/1/2022
7/17/2022,1/1/2023
7/22/2022,10/1/2022
7/24/2022,4/1/2023
8/10/2022,12/1/2022
8/12/2022,10/1/2022
8/19/2022,12/1/2022
8/28/2022,12/1/2022
8/31/2022,11/1/2022
9/5/2022,2/1/2023
9/11/2022,2/1/2023
9/19/2022,4/1/2023
9/24/2022,4/1/2023
10/5/2022,2/1/2023
10/20/2022,4/1/2023
10/28/2022,6/1/2023
12/17/2022,7/1/2023
12/28/2022,4/1/2023
1/19/2023,9/1/2023
1/26/2023,6/1/2023
1/31/2023,11/1/2023
2/2/2023,6/1/2023
2/12/2023,6/1/2023
2/15/2023,2/15/2023
2/17/2023,12/1/2023
2/27/2023,2/27/2023
3/3/2023,10/1/2023
3/17/2023,11/1/2023
3/24/2023,7/1/2023
3/29/2023,11/1/2023
4/19/2023,9/1/2023
4/27/2023,7/1/2023
5/4/2023,9/1/2023
5/10/2023,3/1/2024
5/14/2023,10/1/2023
5/19/2023,9/1/2023
5/31/2023,3/1/2024
6/4/2023,11/1/2023
6/12/2023,3/1/2024
6/22/2023,10/1/2023
6/23/2023,11/1/2023
7/7/2023,11/1/2023
7/10/2023,11/1/2023
7/16/2023,12/1/2023
7/20/2023,12/1/2023
7/24/2023,1/1/2024
7/28/2023,9/1/2023
8/7/2023,2/1/2024
8/8/2023,1/1/2024
8/11/2023,1/1/2024
8/17/2023,1/1/2024
8/22/2023,2/25/2024
8/27/2023,2/1/2024
9/1/2023,3/1/2024
9/4/2023,2/1/2024
9/9/2023,11/1/2023
9/12/2023,12/1/2023
9/16/2023,3/1/2024
9/20/2023,11/1/2023
9/24/2023,3/1/2024
9/25/2023,3/15/2024
9/30/2023,3/1/2024
10/5/2023,4/1/2024
10/9/2023,4/1/2024
10/13/2023,4/1/2024
10/18/2023,2/1/2024
10/21/2023,1/1/2024
10/22/2023,2/1/2024
10/29/2023,12/1/2023
10/30/2023,2/1/2024
11/3/2023,1/1/2024
11/8/2023,2/1/2024
11/18/2023,3/25/2024
11/20/2023,1/1/2024
11/22/2023,3/1/2024
11/28/2023,4/29/2024
12/3/2023,4/1/2024
12/7/2023,4/1/2024
12/8/2023,3/1/2024
12/19/2023,4/1/2024
12/23/2023,3/1/2024
12/29/2023,4/1/2024
1/3/2024,3/1/2024
1/7/2024,4/1/2024
1/14/2024,3/1/2024
1/15/2024,4/1/2024
1/24/2024,4/1/2024
1/29/2024,4/1/2024
2/10/2024,3/15/2024
2/15/2024,3/15/2024
2/23/2024,4/1/2024
2/25/2024,4/1/2024
2/29/2024,4/1/2024
3/4/2024,4/1/2024
3/10/2024,4/15/2024
3/11/2024,4/28/2024
3/16/2024,4/28/2024
3/24/2024,5/15/2024
3/25/2024,4/28/2024
